абитуриент	entrant
непрекращающийся	perpetual
непременно	certainly; surely
непрерывный	continious; ongoing; consecutive
неприемлемый	inadmissible
неприкосновенный	sacred
неприкрытый	bald
неприлично	indecently
неприметный	rank-and-file
непристойно	indecently
непристойный	lewd
неприступность	strength
неприступный	impregnable
неприязнь	enmity
неприятие	rejection
неприятно	obnoxiously
неприятность	nuisance
неприятный	nasty; ungrateful
непрозрачный	opaque
непроизвольно	inadvertently
непроизвольный	involuntary
непроницаемый	opaque
непрямо	circumstantially
неравенство	disparity
нерадивый	remiss
неразбериха	muddle
неразборчивый	illegible; indecipherable; promiscuous
неразличимый	indistinguishable
неразрывно	inseparably
нерасположенный	averse
нервничать	jitter
нервное возбуждение	fever
нереальный	surreal
нерешительность	indecision
нерешительный	hesitant
неровный	uneven
неряшливый	sloppy; sleazy
несведущий	clueless
несвежий	stale
нескладный	gawky
несклонный	averse
нескрываемый	overt; undisguised
несмотря	in spite; notwithstanding
несмотря на	despite; nevertheless; though
несовершенный	deficient
несомненно	undoubtedly; certainly
несомненный	apparent
несоответствие	mismatch; disparity; discrepancy; misfits
несопоставимый	disparate
несостоятельность	insolvency
несочетаемый	incongruous
несочувствующий	unsympathetic
неспособность	incapacity
неспособный	unable; inept; unfit
несправедливость	injustice; iniquity
несправедливый	unfair
несравненно	incomparably
несравнимо	incomparably
